1,2,3,4,5,6,7,pH_CaCl2
8836,8822,10030,8919,22223,13879,10683,6.3
8054,8448,9783,10078,15106,12834,10582,6.1
8487,8973,10042,10879,13852,14184,11984,6.7
8129,8018,8838,7809,17577,11069,9071,6.1
8135,8751,10651,11286,14526,13752,11729,6.8
7830,8119,9912,8603,22292,12535,9873,6.2
8319,8779,10247,10270,15689,13597,11289,6.8
8064,8301,9492,8709,18034,12078,9652,5.1
31937,33763,33897,35242,37756,30350,27237,4.9
7648,8117,9633,9808,15331,12208,10289,6.6
7751,7350,7831,6635,9734,9625,9340,7.2
7612,8013,9458,9877,12456,11360,10044,6.5
11684,11505,11588,11212,14133,13701,13364,6.3
7993,8155,9033,8562,15051,12046,9997,5.9
8501,8439,10051,8791,11930,12881,12177,6
7925,8361,9475,8795,19009,11876,9936,6.6
8687,8599,9799,9236,13275,12511,11101,4.5
7955,8176,9346,8390,19049,11923,9665,5.5
7612,8114,9844,9337,20318,12943,10142,4.5
8529,8831,10058,10148,15727,12916,10811,5.8
10012,9898,10544,9525,14690,13257,12507,6.3
27545,26962,24430,24614,25983,20150,17793,3.7
23351,24437,25546,25376,26536,22493,20051,6.7
8035,8598,9861,10246,15077,15307,12553,3.4
14733,15220,16808,15743,20106,18553,17227,5.6
8626,8744,10002,10048,12681,13509,12434,5.8
18656,18190,18810,17864,22063,18680,17257,7.3
11108,11675,15119,14255,17802,17487,16242,6.2
7574,7597,7843,7517,9704,8884,8143,3.5
8138,8354,8841,8946,9703,9756,9199,6.9
20124,18616,16458,15978,17804,16834,15366,3.8
10411,9998,10673,10094,13417,13640,12497,6.9
10799,10080,11436,11654,18152,16814,15401,6.4
8189,8902,10531,11371,14546,13803,11874,6.1
16884,15964,17481,16607,20514,18609,17131,5.5
11779,10779,10966,11645,20161,16347,15061,6.9
7160,7043,9182,8927,13735,13775,12176,6.6
44281,46110,46952,48683,49252,38786,32393,6.9
9449,9608,11332,11039,16615,14645,12659,6.8
7977,8264,9154,9273,16577,13509,10979,3.5
13277,14048,16209,17719,23842,23123,19474,6.7
7987,8183,9301,9621,12626,11799,10378,6.7
8585,9132,10737,11550,14637,14299,12346,6.6
8271,8413,9910,8807,23649,13772,10564,4.7
41314,43012,42130,43923,44377,34054,30611,4.4
8067,8102,8711,8510,11869,10737,9556,6.9
8083,8252,9380,9131,13760,11764,9831,7.4
39030,38276,35244,34794,33182,22913,18873,3.8
7668,7912,9155,8352,15609,10926,9138,6.2
39864,39221,37838,37337,35348,24866,20875,3.8
7958,8097,8660,8700,13178,11984,9975,4.2
38731,38414,36138,35957,35129,22331,17830,4.2
40351,40916,39565,40292,40346,28214,24157,5.7
26703,26204,25036,23936,25794,19654,17609,4.8
42033,41593,39878,39428,37293,24273,18766,4.5
7907,8109,9152,9527,11686,11403,10106,6.5
7973,8341,9320,9900,13118,11443,9618,6.5
43416,44161,43487,44204,43387,31481,26170,3.9
8028,8176,9444,9509,13601,12332,10423,6.9
8448,8872,9961,10374,13151,12538,10984,6.7
37678,37397,34854,34636,33715,21827,17720,5.2
15088,13146,11347,10670,13206,13893,13556,6.2
8079,8088,8926,8581,13614,11563,9597,5.8
32895,35181,36331,37602,39141,31998,28874,6.1
33851,32687,28643,27488,26243,18307,15612,3.2
8174,8332,9671,9088,15987,12823,10572,5.6
24031,24887,25907,26551,30802,24691,22254,6.5
7996,8569,9997,11078,14265,12940,10576,6.4
7970,8124,8397,8350,11658,11055,9691,7.8
51047,52853,52488,53702,52790,36584,29682,5.6
8192,8681,12593,11694,16720,15279,14479,6.6
8165,8634,10115,10795,13638,12971,11200,6.7
7199,7400,9226,8306,22183,12892,10148,4.8
28044,29047,29433,29985,33457,23180,20699,4.8
43527,44213,42557,42824,42039,29107,25677,5.1
8412,8897,10608,11102,15312,13815,11713,6.6
8147,8312,9203,9148,11487,11647,11168,4
7033,7125,7637,7417,11754,8568,7865,3.3
7363,7379,7638,7278,9399,7727,7512,3.2
30539,32188,32553,33493,36521,27194,24347,5.3
51182,50999,47608,46589,43118,23156,17722,5.5
7647,7472,7454,7079,8114,8005,7780,6
39976,39223,35683,34180,32302,19260,14746,6.6
45983,45150,40582,39116,36240,19342,15223,3.1
42397,42097,38527,37460,35970,21340,16140,7.3
48299,48137,45250,44669,42319,22577,17211,6.7
24103,22280,20582,17827,19822,15570,13335,4.3
36169,35526,32214,30591,29794,16163,12790,5.2
46145,46872,45489,46009,44835,28438,23096,6
51334,51347,47970,47527,44733,23508,17690,3.6
47724,47416,43897,43134,40413,20228,14994,4.4
46676,46869,43136,42643,40585,17515,13238,6.6
